Filename: 1, Validation Accuracy: 0.7490909099578857, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010100011011110001000010001110000010110101010100110010100010101100111110000101001110001011110010110']
Filename: 5, Validation Accuracy: 0.7454545497894287, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 92, Validation Accuracy: 0.7418181896209717, Binary: ['000001001011111101100110111010101110000011110100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111001']
Filename: 18, Validation Accuracy: 0.7381818294525146, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000110000000001111101000100001101010100110110100111101011010110110101011011111111011111100101101000000110110']
Filename: 25, Validation Accuracy: 0.7345454692840576, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011011000101011111110110111001110110000101010110011011100000010101011010000011011010011100111111000101000001010111011111010011110110110']
Filename: 111, Validation Accuracy: 0.7345454692840576, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010101111001011101111110101110100110111100111001111110011111110000000000111101111100010101111000101']
Filename: 133, Validation Accuracy: 0.7345454692840576, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001110111010000111101010100011011001101101010101010110']
Filename: 138, Validation Accuracy: 0.7345454692840576, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100101010110011011100000010101011010000011011010011100111111000101000001010111011111010011110110110']
Filename: 144, Validation Accuracy: 0.7345454692840576, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100011010100101111110001001011100100110111000000010101110011010001010110000101101011001111011010010100101100000101101011111011000']
Filename: 204, Validation Accuracy: 0.7345454692840576, Binary: ['000010010010101010100100101010101010111001101101000101100101111111000101111111110110101100110100101111001011010101001010011000110010000110000000000101101001011101111000100001001011001000011010100111001110111']
Filename: 2, Validation Accuracy: 0.7309091091156006, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 42, Validation Accuracy: 0.7309091091156006, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001110111010000111101010100011011001101101010101010001']
Filename: 61, Validation Accuracy: 0.7309091091156006, Binary: ['000011011000010101010001010001111100010111101011100100100111010101010000101010101100000001001110100001000000000001111101011001000110000111101110110110010101000010010110100101101100010101001111000011100110100']
Filename: 120, Validation Accuracy: 0.7309091091156006, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101110001011101001111000010101001101011101011000110011010110000101000001001001010010110001000101100100011111001101000110000011111']
Filename: 22, Validation Accuracy: 0.7272727489471436, Binary: ['000111111100001000100010111100101111110001111101100001010010001100111010101111100010101011001100010110111110001001111001011101111110101110100110111100111001111110011111110000000000111101111100100000100100000']
