Filename: 12, Validation Accuracy: 0.7454545497894287, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001110111010000111101010100011011001101101010101010001']
Filename: 68, Validation Accuracy: 0.7454545497894287, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100011010100101111110001001011100100110111000000010101110011010001010110000111101011001001010101111110010001010000001110001101110']
Filename: 32, Validation Accuracy: 0.7381818294525146, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010001011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111001']
Filename: 92, Validation Accuracy: 0.7345454692840576, Binary: ['000011011000010101010001010001111100010111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011101011010110110101011011111111011111100101101000000110110']
Filename: 156, Validation Accuracy: 0.7345454692840576, Binary: ['010000001011101111011000010110000100010110100111000000100110011110011000100111100111011001111100100010010010000110011011110001000111010011011101011001001110100101111001101001100100010011000110000111110111111']
Filename: 21, Validation Accuracy: 0.7309091091156006, Binary: ['000011011000010101010001010001111100010111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011011010011100111111000101000000011001001010110000000110001']
Filename: 26, Validation Accuracy: 0.7309091091156006, Binary: ['000011001111000000011101110100000010010011111001100001010010001100111010101111100010101011001100010110111110001001111001011101111110101110100110111100111001111110011111110000000000111101111100100000100100000']
Filename: 94, Validation Accuracy: 0.7309091091156006, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000100100011100000111011101111100011001111110111001010010100010101100111110000101001110001011110010110']
Filename: 9, Validation Accuracy: 0.7272727489471436, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100011010100101111110001001011100100110111000000010101110011010001010110000101101011001111011010010100101100000101101011111011000']
Filename: 14, Validation Accuracy: 0.7272727489471436, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101110001011101001111000010101001101011101011000110011010110000101000001001001010010110001000101100100011111001101000110000011111']
Filename: 20, Validation Accuracy: 0.7272727489471436, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000110000000001111101000100001101010100110111011111101000010100011010001000111010101001001000101100111000000']
Filename: 37, Validation Accuracy: 0.7272727489471436, Binary: ['001010101101111100101111100110101000110010101111101000000001001011110100111001100011011111101010111001101001011000111010010110111111110011100001110010001011110101111001011100110011101110100000001000100110000']
Filename: 42, Validation Accuracy: 0.7272727489471436, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101100010110100100000111010001011110110010011110110111000000000000110010000001010010110001000101100100011111001101000110000011111']
Filename: 74, Validation Accuracy: 0.7272727489471436, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001110111010000111101010100011011001101101010101010001']
Filename: 104, Validation Accuracy: 0.7272727489471436, Binary: ['000011001111000000011101110100000010010011111001100001010010001100111010101111100010101011001100010110111110001001111001011101111110101110100110111100111001111110011111000101100100011111001101000110000011111']
Filename: 127, Validation Accuracy: 0.7272727489471436, Binary: ['010100100100010111000111010111111010001111100100011111101001101001000111011011000101011111110110111001110110000101010110011011100000010101011010000011011010011100111111000101000001010111011111010011110110110']
Filename: 248, Validation Accuracy: 0.7272727489471436, Binary: ['001111000110111110011011011111011110011010111100011011011111011111101100010110111011011110100100011011101100110101001010111001110000000001000000000101111111010110000101110101001011000101010000011101101110000']
Filename: 4, Validation Accuracy: 0.7236363887786865, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000110000000001111101000100001101010100110110100111101011010110110101011011111111011111100101101000000110110']
Filename: 5, Validation Accuracy: 0.7236363887786865, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011011000101011111110110111001110110000101010110011011100000010101011010000011011010011100111111000101000001010111011111010011110110110']
Filename: 34, Validation Accuracy: 0.7236363887786865, Binary: ['001000011100000010111000100001110010111011010010100001110110000111010101110001111000110110101101001011100100011011111110100010010111010000010011110011010010001110000010101001011101101101111001010010001001111']
Filename: 103, Validation Accuracy: 0.7236363887786865, Binary: ['000011001111000000011101110100000010010011111001100001010010001100111010101111100010101011001100010110111110001001111001011101111110101110100110100100101110011010110101101101110100000001001001001101110100111']
Filename: 123, Validation Accuracy: 0.7236363887786865, Binary: ['001010101101111100101111100110101000110010101111101000000001001011110100111001100011011111101010111001101001011000111010000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 125, Validation Accuracy: 0.7236363887786865, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010100011011110001000010001110000010110101010100110010100001000101100100011111001101000110000011111']
Filename: 144, Validation Accuracy: 0.7236363887786865, Binary: ['010001101111000001001111011100001011111101101011111110010000100000000001001110000111010100101001111000010101001101011101011000110011010110000101000001001001010010110001000101100100011001001001001101110100111']
Filename: 10, Validation Accuracy: 0.7200000286102295, Binary: ['000010010010101010100100101010101010111001101101000101100101111111000101111111110110101100110100101111001011010101001010011000110010000110000000000101101001011101111000100001001011001000011010100111001110111']
Filename: 47, Validation Accuracy: 0.7200000286102295, Binary: ['010001101111000001001111011100001011111101101011111110010000100000000001001110000111010100101001111000010101001101011101011000110011010110000101000001001001010010110001000101100100011111001101000110000011111']
Filename: 48, Validation Accuracy: 0.7200000286102295, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 63, Validation Accuracy: 0.7200000286102295, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001010011101010010010011010010110100111100111000111000']
Filename: 78, Validation Accuracy: 0.7200000286102295, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101110001011101001111000010101001101011101011000110011010110000101000001001001010010110110100101101100010101001111000011100110100']
Filename: 82, Validation Accuracy: 0.7200000286102295, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000100100011100100010010111010001010101010111101001010011101010010010011010010110100111100111000111000']
Filename: 98, Validation Accuracy: 0.7200000286102295, Binary: ['001101100100110101110110111100010100000010001011010010100001110101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001110111111100011010100100010110110101110011000100001']
Filename: 108, Validation Accuracy: 0.7200000286102295, Binary: ['001101100100110101110110100110000010111000101110000110100010111110101010010110101110001011101001111000010101001101011101011000110011010110000101000001001001010010110001000101100100011111001101000110000011111']
Filename: 110, Validation Accuracy: 0.7200000286102295, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110111111101010111001101001011000110010011110110111000000000000110010000001110101000111101001101011110101000000100101111000101']
Filename: 159, Validation Accuracy: 0.7200000286102295, Binary: ['011001110011111000010100111010010100011001010010001001111111001000101001011010010100111001011001110010001000111111110011000111100111001111000111111100110000110010011101010110000000010000111101100100110100001']
Filename: 16, Validation Accuracy: 0.7163636088371277, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 65, Validation Accuracy: 0.7163636088371277, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001000000011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011101010']
Filename: 77, Validation Accuracy: 0.7163636088371277, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101110001011101001111000010001001100100001111001010010001111001001100110001101110010010000111010011010010110100111100111000111001']
Filename: 81, Validation Accuracy: 0.7163636088371277, Binary: ['000001001011111101100110111010101110000011110011110001100000011101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001110111111100011010100100010110110101110011000100001']
Filename: 106, Validation Accuracy: 0.7163636088371277, Binary: ['000010011111010111000111010111111010001111100100011101100000011100010011111011010001001011110010100111010000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 122, Validation Accuracy: 0.7163636088371277, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101000111001110011000001111011111101011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 136, Validation Accuracy: 0.7163636088371277, Binary: ['001101010011110101001001111000000110111000100110010110000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101000111101010100011011001101101010101010110']
Filename: 137, Validation Accuracy: 0.7163636088371277, Binary: ['000101011010101101110111100100000010100010100101010110011111011100111100111110100000011110110000010111001111101010101001001010001001011011001110111010100100010110001011000111000010101101001110001011110010110']
Filename: 234, Validation Accuracy: 0.7163636088371277, Binary: ['011010110000110110111000111010110100101000001100011001011110000111101001001001101011100010011111001101000100000001000001000110000000101111011011100000000111110100011010000010100111101101101010011010000101110']
Filename: 6, Validation Accuracy: 0.7127272486686707, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010101111001011101111110101110100110111100111001111110011111110000000000111101111100010101111000101']
Filename: 7, Validation Accuracy: 0.7127272486686707, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001110111010000111101010100011011001101101010101010110']
Filename: 17, Validation Accuracy: 0.7127272486686707, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011100011011101001001000101100010100001010000010110101101101110100000001001001001101110100111']
Filename: 40, Validation Accuracy: 0.7127272486686707, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111000000']
Filename: 109, Validation Accuracy: 0.7127272486686707, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110111111101010111001101000000001111101000100001101010100110110100111101011010110110101011011111111011111100101101000000110110']
Filename: 111, Validation Accuracy: 0.7127272486686707, Binary: ['010100100100010111000111010111110010110011111011010101010111101001100011011010010110110001110010100110010110010100011011110001000010001110000010110101010100110010100010101100111101100010010100101000010000111']
Filename: 115, Validation Accuracy: 0.7127272486686707, Binary: ['010100100100010111000111010111111010001111100100011101100000011100010011111011010001001011110010100111010000100100011100000111011101111100101100010100001010000010110101101101110100000001001001001101110100111']
Filename: 121, Validation Accuracy: 0.7127272486686707, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101010100110010110010100011011110001000010001110000010110101010100110010100010101100111101100010010100101000010000111']
Filename: 129, Validation Accuracy: 0.7127272486686707, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101001111000011100110100']
Filename: 135, Validation Accuracy: 0.7127272486686707, Binary: ['001101010011110101001001111000000110111000100110010110000000101000010110101010001110001011101111001100100011011011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011101010']
Filename: 149, Validation Accuracy: 0.7127272486686707, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101001111000111001110111']
Filename: 150, Validation Accuracy: 0.7127272486686707, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000110010000110000000000101101001011101111000100001001011001000011010100111001110111']
Filename: 152, Validation Accuracy: 0.7127272486686707, Binary: ['000010100100011100111010100001001110011111100001010100011100011100001110010100011011111010101001000001100001001111001101001000110110010100010111100010111100101101000111110100101100001101111100000001011001010']
Filename: 22, Validation Accuracy: 0.7090908885002136, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 41, Validation Accuracy: 0.7090908885002136, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000100001111101000100001101010100110110100111101011010110110101011011111111011111100101101000000110110']
Filename: 44, Validation Accuracy: 0.7090908885002136, Binary: ['000101011010101101110111100100000010100010100101010110010110101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111000']
Filename: 57, Validation Accuracy: 0.7090908885002136, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000110000000001111101000100001101010100110110100111101011010110110101011011111111011111100101101000000110110']
Filename: 58, Validation Accuracy: 0.7090908885002136, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010110111010000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 62, Validation Accuracy: 0.7090908885002136, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010101111001011101111110101110100110111100111001010010111000100100011011010110000100010101111000101']
Filename: 87, Validation Accuracy: 0.7090908885002136, Binary: ['010000010011001110011010011010111011101111001001100110100101111010010010111000110110001001010100100110010110010100011011110001000010001110000010110101010100110010100010101100111110000101001110001011110010110']
Filename: 96, Validation Accuracy: 0.7090908885002136, Binary: ['010100100100010111000111010111111010001111100100011101100000011100010011111011010001001011110010100111010000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 116, Validation Accuracy: 0.7090908885002136, Binary: ['010100100100010111000111010111111010001111100100011101100000011100010011110001111000110110101101001011100100011011111110100010010111010000010011110011010010001110000010101001011101101101111001010010001001111']
Filename: 11, Validation Accuracy: 0.7054545283317566, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 28, Validation Accuracy: 0.7054545283317566, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100101100110111101011101000110110111010000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 39, Validation Accuracy: 0.7054545283317566, Binary: ['010100100100010111000111010111111010001111100100011111101001101001000110100000010010111011110001100010100001000000100000111011010111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 54, Validation Accuracy: 0.7054545283317566, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101001001011110010100111010000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 64, Validation Accuracy: 0.7054545283317566, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001111110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011101010']
Filename: 69, Validation Accuracy: 0.7054545283317566, Binary: ['000010010010101010100100101010101010111001101101000101100101111111000101111111110110101100110100101111001011010101001010011000110010000110000000000101101001011101111000100010011010010110100111100111000111001']
Filename: 76, Validation Accuracy: 0.7054545283317566, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101001111000011100110100']
Filename: 80, Validation Accuracy: 0.7054545283317566, Binary: ['000111111100010111000111010111111010001111100100011111101001011000000111100010111001001011110010100110111110001001111001011101111110101110100110111100111001111110011111110000000000111101111100100000100100000']
Filename: 85, Validation Accuracy: 0.7054545283317566, Binary: ['000010010011011001001110011001110010110011111011010101010111101001100011011010010110111111101010111001101001011000110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 132, Validation Accuracy: 0.7054545283317566, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111000']
Filename: 153, Validation Accuracy: 0.7054545283317566, Binary: ['101111101110100010011000010101100011101000010000011100111011010000110000100010001001000011000001111110110101000101001100100001111110110010111111100010001000000100000100000001011100110001110100111100010101101']
Filename: 208, Validation Accuracy: 0.7054545283317566, Binary: ['100101011000010101110001011111011110111000011011010110011111101101001001110000101010101101111000100011001110100101110011010110101001011111001111110110010000101001001111100011001011000101011101100001010100101']
Filename: 283, Validation Accuracy: 0.7054545283317566, Binary: ['001000100001111000010100101111101100101010101011000001011010100011000100111111010101100000100001001110101001011110011010101101001110001100111011110001110000011010011001101110011101010011001000000100110101101']
Filename: 2, Validation Accuracy: 0.7018181681632996, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 15, Validation Accuracy: 0.7018181681632996, Binary: ['000111111100001000100010111100101111110001111101100001010010001100111010101111100010101011001100010110111110001001111001011101111110101110100110111100111001111110011111110000000000111101111100100000100100000']
