Filename: 56, Validation Accuracy: 0.7454545497894287, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010100011011110001000010001110000010110101010100110010100010101100111101100010010100101000010000111']
Filename: 29, Validation Accuracy: 0.7381818294525146, Binary: ['001111000011010111100110101111101011011000100110010110111111011100111100111110100000011110110000010111001111101010101001001010001001011011001110111010100100010110001011000111000010101100111011101111101011111']
Filename: 114, Validation Accuracy: 0.7272727489471436, Binary: ['001101010011110101001001111000000110110010000111100010100001111001000101001110110010010111000010001011100100011011111001111001011010101000110100011001011001111101001110010100110110110110001110101001100000000']
Filename: 4, Validation Accuracy: 0.7236363887786865, Binary: ['001000011100000010111000100001110010111011010010100001110110000111010101110001111000110110101101111000110010010011100000011011101001001000101100010100001010000010110101101101110100000001001001001101110100111']
Filename: 129, Validation Accuracy: 0.7236363887786865, Binary: ['111010111010100100111110011010111101110101000100101110011011101111111011000000111101100100111100000100001000000000011111001111001100100110000010010011010001111100000011000101110001001101011011001101101001000']
Filename: 60, Validation Accuracy: 0.7200000286102295, Binary: ['000011011000010101010001010001111100010111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011011010011100111111000101000000011001001010110000000110001']
Filename: 63, Validation Accuracy: 0.7200000286102295, Binary: ['011001011000111010100001101001101011110010110111010101100101101100000011101011000101011111110110111001101001011000111010010110111111110011100001110010001011110101111001011100110011101110100000001000100110000']
Filename: 228, Validation Accuracy: 0.7200000286102295, Binary: ['001000100100011000000111011111100100111100011000111001110100101001010010101011010011000101111101011100111111000101010001101101011001001100110111000011100000110001100000101001100101000101011000111111011111001']
Filename: 30, Validation Accuracy: 0.7163636088371277, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100100110111000000010101110010000010000011000010111011001001011010001101010111011111010011110110110']
Filename: 73, Validation Accuracy: 0.7127272486686707, Binary: ['010011111110000000111110101010000110010001011110101001010111000001110101110001101000000111110100010000100000100100011100101001011011011011100110001110000101101011001111011010010100101100000101101011111011000']
Filename: 83, Validation Accuracy: 0.7127272486686707, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 112, Validation Accuracy: 0.7127272486686707, Binary: ['000100010100001100100000100001011111001000001011000000100011111110001011010101101101010011010101001101110000100000001110011010001010100010011100000000100101101100110011111001010000011110000111000000000110110']
Filename: 49, Validation Accuracy: 0.7090908885002136, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111110110111001101001011000111010010110111111110011100001110010001011110101111001011100110011101110100000001000100110000']
Filename: 59, Validation Accuracy: 0.7090908885002136, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011101101100110011111001010000011110000111000000000110110']
Filename: 66, Validation Accuracy: 0.7090908885002136, Binary: ['111110101111111110100110000001110101101100001011000000100011111110001011010100000011010100101111110001001011100100110111000000010101110010000010000011000010111011001001011010001101010111011111010011110110110']
Filename: 89, Validation Accuracy: 0.7090908885002136, Binary: ['110101001100011111001111001100111111100101011101111000001110100100010000011001010111110101000111110011111010010011111111001100000010100100110111001110100110001010011010011101011100011110011111110010001001111']
Filename: 96, Validation Accuracy: 0.7090908885002136, Binary: ['000101011001001100111001010101011100001000101010010100111110111000111001011001100000111100011101011100010001110100101101011111011010101001001011001000110010000101111000100100101100100110001110110110100001110']
Filename: 102, Validation Accuracy: 0.7090908885002136, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 122, Validation Accuracy: 0.7090908885002136, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111000']
Filename: 291, Validation Accuracy: 0.7090908885002136, Binary: ['011110001011101000110010111100111000000001010001111010001101101110101101000100001011000111001000110111001111101110101000001110010011101001001101000110001100001111000101100010011011001101100010111000010011011']
Filename: 10, Validation Accuracy: 0.7054545283317566, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100101100110111101011101000110110111011000011101110001011010001110001011110110001100011000111001001001000000110101110000011010000000001010']
Filename: 11, Validation Accuracy: 0.7054545283317566, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000111000010111011111001101101011110010011001011011011110110001111100011010100100010110110101110011000100001']
Filename: 14, Validation Accuracy: 0.7054545283317566, Binary: ['011100101110100100101110110111101000110010101111101000000001001011110100111001100011011111101011110110001011001110010001000101111101100000010000100101010010101000101101000111111001101011101100001100100110110']
Filename: 50, Validation Accuracy: 0.7054545283317566, Binary: ['001010101100101111111110110000110101011001110010110010111001010000100000011101100111010100101100001111010011001111101011111000101111100110010011110011010010001110000010101001011101101101111001010010001001111']
Filename: 61, Validation Accuracy: 0.7054545283317566, Binary: ['001011101001000010111000100100110011111101010011000101111011110001010000101010101100000001001110100001000000000001111101011001000110000111101110110110010101000011010111110001001100000110110001001101110001000']
Filename: 69, Validation Accuracy: 0.7054545283317566, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100101100110111101011101000110110111011000011101110001011010001110001011110110001100011000101100110000101101100001101100001000011110001011']
Filename: 72, Validation Accuracy: 0.7018181681632996, Binary: ['010100100100010111000111010111111010001111100100011111101001101001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111110110000100010101111000101']
Filename: 113, Validation Accuracy: 0.7018181681632996, Binary: ['001101010011110101001001111000000110110010000111100010100001111001000101001110110010010111000010001011100100010110001111011110100010101101101100101010000011000010001010011011011110000101001110001011110010110']
Filename: 40, Validation Accuracy: 0.6981818079948425, Binary: ['111010111010100100111110011010111101110101000100101110011011101111111011000000111101100100111100000100001000000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 79, Validation Accuracy: 0.6981818079948425, Binary: ['010011011001001010110001010101111000100110001111000101111100000001110001011000100000000111101011001000100111000100011010111111011001010111100101011110010001011010000110001101011100010110100011000001011110001']
Filename: 80, Validation Accuracy: 0.6981818079948425, Binary: ['010011011001001010110001011010000110010001011110101001010111000001110101110001101000000111110100010000100000100100011100101001011011011011100110001110000101101011001111011010010100101100000101101011111011000']
Filename: 82, Validation Accuracy: 0.6981818079948425, Binary: ['100101011001100110110001011110001001110001100000110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111100101101100110011111001010000011110000111000000000110110']
Filename: 16, Validation Accuracy: 0.6945454478263855, Binary: ['100101011001100110110001011110001001110001100000110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 17, Validation Accuracy: 0.6945454478263855, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011101010']
