Filename: 61, Validation Accuracy: 0.7490909099578857, Binary: ['000011011000010101010001010001111100010111101011100100100111011001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111110110000100010101111000101']
Filename: 34, Validation Accuracy: 0.7418181896209717, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011101010']
Filename: 93, Validation Accuracy: 0.7345454692840576, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000110000000001111101000100001101010100110110100111101011010110110101011011111111011111100101101000010110010']
Filename: 18, Validation Accuracy: 0.7272727489471436, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 32, Validation Accuracy: 0.7272727489471436, Binary: ['100101011001100110110001011110001001110001100000110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111100101101100110011111001010000011110000111000000000110110']
Filename: 67, Validation Accuracy: 0.7272727489471436, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100100110111000000010101110011010001010110011110010010010110100101101100010101001111000011100110100']
Filename: 124, Validation Accuracy: 0.7272727489471436, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101011000111111011111001']
Filename: 6, Validation Accuracy: 0.7236363887786865, Binary: ['000011011000010101010001010001111100010111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011011010011100111111000101000000011001001010110000000110001']
Filename: 41, Validation Accuracy: 0.7236363887786865, Binary: ['011100101110100100101110110111101000110010101111101000000001001011110100111001100011011111101010111001101001011000111010010110111111110011100001110010001011110101111001011100110011101110100000001000100110000']
Filename: 68, Validation Accuracy: 0.7236363887786865, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100100110111000000010101110010000010000011000010111011001001011010001101010111011100001100100110110']
Filename: 76, Validation Accuracy: 0.7236363887786865, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111111011110110001011001110010001000101111101100000010000100101010010101000101101000111111001101011101100001100100110110']
Filename: 84, Validation Accuracy: 0.7236363887786865, Binary: ['000101011001001100111001010101011100001000101010010100111110111000111001011101100111010100101100001111010011001111101011111000101111100110010011110011010010001110000010101001011101101101111001010010001001111']
Filename: 86, Validation Accuracy: 0.7236363887786865, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111000000']
Filename: 27, Validation Accuracy: 0.7200000286102295, Binary: ['010100100100010111000111010111111010001111100100011111101001101001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111110110000100010101111000101']
Filename: 100, Validation Accuracy: 0.7200000286102295, Binary: ['001011101001000010111000100100110011111101010011000101111011110001010000101010101100000001001110100001000000000001111101011001000110000111101110110110010101000010110101101101110100000001001001001101110100111']
Filename: 150, Validation Accuracy: 0.7200000286102295, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111110110111001110110000101010110011011100000010101011010000011011010010010110101101101110100000001001001001101110100111']
Filename: 58, Validation Accuracy: 0.7163636088371277, Binary: ['001000011100000010111000100001110010111011010010100001110110000111010101110001111000110110101101001011100100011011111001111001011010101000110100011001011001111101001110010100110110110110001110101001100000001']
Filename: 74, Validation Accuracy: 0.7163636088371277, Binary: ['000100010100001100100000100001011111001000001011000000100011111110001011010101101101010011010100000100001000000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 132, Validation Accuracy: 0.7163636088371277, Binary: ['011100101110100100101110110111101000110010101111101000000001001011110100111001100011011111101010111001101001011000111010010110111111110011100001110010001011110101111001011100110011101110100000000110100001110']
Filename: 144, Validation Accuracy: 0.7163636088371277, Binary: ['001011011011110111011110101010000110010001011110101001010111000001110101110001101000000111110100010000100000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 171, Validation Accuracy: 0.7163636088371277, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 189, Validation Accuracy: 0.7163636088371277, Binary: ['010001101111000001001111011100001011111101101011111110010000100000000001001110000111010100101001111000010101001101011101011000110011010110000101000001001001010010110001000101100100011111001101000110000011111']
Filename: 11, Validation Accuracy: 0.7127272486686707, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 42, Validation Accuracy: 0.7127272486686707, Binary: ['000111111100001000100010111100101111110001111101100010010100111110101111100111101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010010100111001010010011100000111000']
Filename: 46, Validation Accuracy: 0.7127272486686707, Binary: ['000110111100001000000010111100101111110001111101100010010100111110101111100111101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010010100111001010010011100000111000']
Filename: 51, Validation Accuracy: 0.7127272486686707, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010100011011110001000010001110000010110101010100110010100010101100111110000101001110001011110010110']
Filename: 52, Validation Accuracy: 0.7127272486686707, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010011101110001011010001110001011110110001100011000101100110000101101100001101100001000011110001011']
Filename: 94, Validation Accuracy: 0.7127272486686707, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 98, Validation Accuracy: 0.7127272486686707, Binary: ['001010101100101111111110110000110101011001110010110010111001010000110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011101010']
Filename: 19, Validation Accuracy: 0.7090908885002136, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111000']
Filename: 81, Validation Accuracy: 0.7090908885002136, Binary: ['110101001100011111001111001100111111110111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011011010011100111111000101000000011001001010110000000110001']
Filename: 87, Validation Accuracy: 0.7090908885002136, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111001']
Filename: 91, Validation Accuracy: 0.7090908885002136, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100101100110111101011101000110110111010000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
