model,benchmark_value,TP,TN,FP,FN,AUC,training_set,val_set,loss,optimizer,lr,epochs,batch_size,balance,fft_len,fft_overlap,chunks,image_size,val_ratio,resampling,BENCHMARK_AUC,VAL_AUC_MAX,AUC_MAX,history_file,configfile
src.cnn.models.ga.2.model_12,97.0,167.0,11.0,93.0,4.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.01,134,107,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.6245220303535461,0.7345367074012756,0.6824226975440979,37b22845-482b-4d33-bc44-8d117e7ef119.json,config_12.yaml
src.cnn.models.ga.2.model_13,78.0,152.0,45.0,59.0,19.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,Adagrad,0.01,89,16,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.740412712097168,0.7559604048728943,0.7425844073295593,17cd76a5-f876-48ea-a9d0-cbbaaff8f36c.json,config_13.yaml
src.cnn.models.ga.2.model_14,81.0,148.0,46.0,58.0,23.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,Adagrad,0.01,89,16,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.7350146174430847,0.7553419470787048,0.7922791838645935,d71ceaee-4748-4362-81c3-542103cd1500.json,config_14.yaml
src.cnn.models.ga.2.model_15,97.0,108.0,70.0,34.0,63.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,RMSprop,0.0001,424,8,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.6787281036376953,0.7379666566848755,0.9981540441513062,c3c6a69e-2bf9-444e-83d4-833c7b8e2b30.json,config_15.yaml
src.cnn.models.ga.2.model_16,109.0,94.0,72.0,32.0,77.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adagrad,0.01,393,8,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.6251125335693359,0.637342631816864,0.6370415091514587,8447c8ae-f161-4a7b-b09e-4adf8cf8fbcd.json,config_16.yaml
src.cnn.models.ga.2.model_17,82.0,145.0,48.0,56.0,26.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.0001,168,34,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.6969747543334961,0.7190170884132385,0.8817879557609558,cfda046e-00fb-40c1-ae57-3b02e0e24712.json,config_17.yaml
src.cnn.models.ga.2.model_18,87.0,146.0,42.0,62.0,25.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.0001,168,34,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.6878374218940735,0.697171688079834,0.8617204427719116,c3104b7d-7746-43ad-bc05-64f35b91a154.json,config_18.yaml
src.cnn.models.ga.2.model_19,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.0001,173,40,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5029239654541016,0.6762819886207581,0.8740295767784119,ab47d0cb-423a-4d30-855f-cd98e7dbbd64.json,config_19.yaml
src.cnn.models.ga.2.model_20,102.0,154.0,19.0,85.0,17.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.0001,173,40,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5700910687446594,0.5863698124885559,1.0,b180ea58-ad94-48bc-b492-24708bd1c54c.json,config_20.yaml
src.cnn.models.ga.2.model_21,82.0,141.0,52.0,52.0,30.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,RMSprop,0.0001,424,8,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.7338337898254395,0.7382197380065918,0.9961719512939453,3a2336ae-7531-4539-b87b-e920145514e2.json,config_21.yaml
